track_index,dj_play_count,color,artwork,bpm,year,title,tag,artist,rating,album,time,date_added,key,genre
281,0,,,95,2013,Hoe,Top 40/Pop / Playlisted,Nielson & Miss Montreal,     ,Nederlandse Top 40 week 2013-17,2:49,6/4/2013,,Nederlands
282,0,,,96,2013,True love,Top 40/Pop / Playlisted,P!nk ft. Lily Rose Cooper,     ,Nederlandse Top 40 week 2013-19,3:50,6/4/2013,,Top 40
283,3,,,146,2013,Can't hold us ,Top 40/Pop / Playlisted,Macklemore & Ryan Lewis ft. Ray Dalton,     ,Nederlandse Top 40 week 2013-20,4:18,6/4/2013,,Top 40
284,0,,,111.68,2013,Stay,Top 40/Pop / Playlisted,Rihanna ft. Mikky Ekko,     ,Nederlandse Top 40 week 2013-20,4:00,6/4/2013,,Top 40
285,20,,,136,2013,Feel this moment,Dance / Top 40/Pop / Latin/Balkan / Urban / Playlisted,Pitbull ft. Christina Aguilera,**** ,Nederlandse Top 40 week 2013-20,3:50,6/4/2013,,Top 40
286,3,,,108,2013,Watch out for this (Bumaye),Top 40/Pop / Playlisted,"Major Lazer ft. Busy Signal, The Flexican & FS Green",     ,Nederlandse Top 40 week 2013-20,4:29,6/4/2013,,Top 40
287,0,,,95,2013,Hoe,Top 40/Pop / Playlisted,Nielson & Miss Montreal,     ,Nederlandse Top 40 week 2013-20,2:49,6/4/2013,,Nederlands
288,0,,,95,2013,Just give me a reason,Top 40/Pop / Playlisted,Pink ft. Nate Ruess,     ,Nederlandse Top 40 week 2013-20,4:02,6/4/2013,,Top 40
289,4,,,95,2013,Thrift shop,Top 40/Pop / Playlisted,Macklemore & Ryan Lewis ft. Wanz,     ,Nederlandse Top 40 week 2013-20,3:57,6/4/2013,,Top 40
290,0,,,144,2013,It's a beautiful day,Top 40/Pop / Playlisted,Michael Buble,     ,Nederlandse Top 40 week 2013-20,3:20,6/4/2013,,Top 40
291,1,,,130,2013,Slow down,Top 40/Pop / Playlisted,Showtek,     ,Nederlandse Top 40 week 2013-20,3:04,6/4/2013,,Top 40
292,0,,,162,2013,One way or another (Teenage kicks),Top 40/Pop / Playlisted,One Direction,     ,Nederlandse Top 40 week 2013-20,2:37,6/4/2013,,Top 40
293,0,,,126,2013,Gentleman,Top 40/Pop / Playlisted,PSY,     ,Nederlandse Top 40 week 2013-20,3:14,6/4/2013,,Top 40
294,0,,,96,2013,True love,Top 40/Pop / Playlisted,P!nk ft. Lily Rose Cooper,     ,Nederlandse Top 40 week 2013-20,3:50,6/4/2013,,Top 40
295,0,,,128.05,2013,High on your love,Top 40/Pop / Playlisted,Sharon Doorson,     ,Nederlandse Top 40 week 2013-20,3:20,6/4/2013,,Top 40
296,0,,,128,2013,Cannonball,Top 40/Pop / Playlisted,Showtek & Justin Prime,     ,Nederlandse Top 40 week 2013-20,3:22,6/4/2013,,Top 40
297,0,,,96.04,2013,Oceaan,Top 40/Pop / Playlisted,Racoon,     ,Nederlandse Top 40 week 2013-20,2:39,6/4/2013,,Nederlands
298,0,,,134,2013,With you,Top 40/Pop / Playlisted,Matt Simons,     ,Nederlandse Top 40 week 2013-20,3:38,6/4/2013,,Top 40
299,0,,,87.45,2013,Waves,Top 40/Pop / Playlisted,Mr. Probz,     ,Nederlandse Top 40 week 2013-21,2:54,6/4/2013,,Top 40
300,7,,,130,2013,Right now,Dance / Top 40/Pop / Urban / White / Playlisted,Rihanna ft. David Guetta,*****,Nederlandse Top 40 week 2013-22,3:01,6/4/2013,,Top 40
301,2,,,148,2013,Earth meets water (Wildstylez remix),Top 40/Pop / Playlisted,Rigby,     ,Nederlandse Top 40 week 2013-22,4:02,6/4/2013,,Top 40
302,0,,,115,2013,De Formule,Fout / Dance / Top 40/Pop / Alternative/Indie / Playlisted,De Jeugd Van Tegenwoordig,     ,Nederlandse Top 40 week 2013-25,5:12,7/5/2013,,Nederlands
303,0,,,165,2013,Here's to never growing up,Top 40/Pop / Playlisted,Avril Lavigne,     ,Nederlandse Top 40 week 2013-17,3:34,6/4/2013,,Top 40
304,0,,,99.94,2013,Read all about it (pt 3),Top 40/Pop / Playlisted,Emeli Sande,     ,Nederlandse Top 40 week 2013-19,4:44,6/4/2013,,Top 40
305,0,,,128,2013,Burn it down,Top 40/Pop / Playlisted,Billy the Kit ft. Duvall,     ,Nederlandse Top 40 week 2013-19,3:35,6/4/2013,,Top 40
306,1,,,130,2013,This is what it feels like,Top 40/Pop / Playlisted,Armin Van Buuren ft. Trevor Guthrie,     ,Nederlandse Top 40 week 2013-20,3:26,6/4/2013,,Top 40
307,0,,,99.94,2013,Read all about it (pt 3),Top 40/Pop / Playlisted,Emeli Sande,     ,Nederlandse Top 40 week 2013-20,4:44,6/4/2013,,Top 40
308,1,,,120,2013,Sonnentanz,Top 40/Pop / Playlisted,Klangkarussell,     ,Nederlandse Top 40 week 2013-20,3:50,6/4/2013,,Top 40
309,0,,,77,2013,Mirrors,Top 40/Pop / Playlisted,Justin Timberlake,     ,Nederlandse Top 40 week 2013-20,8:05,6/4/2013,,Top 40
310,0,,,144.95,2013,When I was your man,Top 40/Pop / Playlisted,Bruno Mars,     ,Nederlandse Top 40 week 2013-20,3:33,6/4/2013,,Top 40
311,0,,,165,2013,Here's to never growing up,Top 40/Pop / Playlisted,Avril Lavigne,     ,Nederlandse Top 40 week 2013-20,3:34,6/4/2013,,Top 40
312,0,,,100,2013,Tangled up,Top 40/Pop / Playlisted,Caro Emerald,     ,Nederlandse Top 40 week 2013-20,3:15,6/4/2013,,Top 40
313,4,,,125,2013,I need your love,Top 40/Pop / Playlisted,Calvin Harris ft. Ellie Goulding,     ,Nederlandse Top 40 week 2013-20,3:55,6/4/2013,,Top 40
314,1,,,128,2013,Chemistry,Dance / Top 40/Pop / White / Playlisted,Eva Simons,     ,Nederlandse Top 40 week 2013-20,3:30,6/4/2013,,Top 40
315,7,,,128,2013,Burn it down,Dance / Top 40/Pop / White / Playlisted,Billy the Kit ft. Duvall,**** ,Nederlandse Top 40 week 2013-20,3:35,6/4/2013,1m,Top 40
316,0,,,104,2013,Fine China,R&B / Top 40/Pop / Playlisted,Chris Brown,     ,Nederlandse Top 40 week 2013-20,3:33,6/4/2013,,Top 40
317,1,,,128,2013,Sovereign light cafe (Afrojack remix),Top 40/Pop / Playlisted,Keane,     ,Nederlandse Top 40 week 2013-20,6:11,6/4/2013,,Top 40
318,0,,,93,2013,Ready or not,Top 40/Pop / Playlisted,Bridget Mendler,     ,Nederlandse Top 40 week 2013-20,3:20,6/4/2013,,Top 40
319,0,,,111,2013,Only teardrops,Top 40/Pop / Playlisted,Emmelie de Forest,     ,Nederlandse Top 40 week 2013-21,3:03,6/4/2013,,Top 40
320,0,,,128,2013,The other side,Top 40/Pop / Playlisted,Jason Derulo,     ,Nederlandse Top 40 week 2013-21,3:47,6/4/2013,,Top 40
321,0,,,116,2013,Treasure,Top 40/Pop / Playlisted,Bruno Mars,     ,Nederlandse Top 40 week 2013-22,2:58,6/4/2013,,Top 40
322,0,,,115.94,2013,Dat ik je mis,Top 40/Pop / Playlisted,Maaike Ouboter,     ,Nederlandse Top 40 week 2013-23,4:15,7/5/2013,,Nederlands
323,0,,,144.09,2013,Close to you,Top 40/Pop / Playlisted,Michael Prins,     ,Nederlandse Top 40 week 2013-23,4:45,7/5/2013,,Top 40
324,0,,,126,2013,Love me again,Top 40/Pop / Playlisted,John Newman,     ,Nederlandse Top 40 week 2013-23,3:35,7/5/2013,,Top 40
325,6,,,121,2013,So good to me,House / Top 40/Pop / Deep / Playlisted,Chris Malinchak,     ,Nederlandse Top 40 week 2013-23,5:03,7/5/2013,,Top 40
326,14,,,102,2013,Pechvogel,Fout / Top 40/Pop / Playlisted / PARTY!!!,De Kraaien,     ,Nederlandse Top 40 week 2013-23,3:46,7/5/2013,,Nederlands
327,7,,,87.5,2013,Waiting all night,Drum And Bass / Top 40/Pop / Playlisted,Rudimental ft. Ella Eyre,     ,Nederlandse Top 40 week 2013-23,4:54,7/5/2013,,Top 40
328,2,,,125,2013,La La La,Top 40/Pop / Playlisted,Naughty Boy ft. Sam Smith,     ,Nederlandse Top 40 week 2013-24,3:40,7/5/2013,,Top 40
329,0,,,128.8,2013,Killer,Top 40/Pop / Playlisted,Sharon Doorson,     ,Nederlandse Top 40 week 2013-24,3:19,7/5/2013,,Top 40
330,13,,,150,2013,Vlammen (Totally summer anthem),Hip Hop / Trap / Dance / Top 40/Pop / Urban / Playlisted,Mr Polska,     ,Nederlandse Top 40 week 2013-24,3:38,7/5/2013,,Nederlands
331,0,,,147.99,2013,Cruise,Top 40/Pop / Playlisted,Florida Georgia Line ft. Nelly,     ,Nederlandse Top 40 week 2013-25,3:29,7/5/2013,,Top 40
332,30,,,124,2013,Wake me up,Top 40/Pop / Vocal/Meezinger / Playlisted / PARTY!!!,Avicii,     ,Nederlandse Top 40 week 2013-26,4:06,7/5/2013,3d,Top 40
